Name,Price,Payout,Probability
Bonus Card Bingo,3,3,0.1044932079414838
Bonus Card Bingo,3,5,0.07692307692307693
Bonus Card Bingo,3,9,0.0033222591362126247
Bonus Card Bingo,3,12,0.0033222591362126247
Bonus Card Bingo,3,14,0.0033222591362126247
Bonus Card Bingo,3,15,0.0033222591362126247
Bonus Card Bingo,3,20,0.006622516556291391
Bonus Card Bingo,3,20,0.0033222591362126247
Bonus Card Bingo,3,30,3.332222592469177e-4
Bonus Card Bingo,3,50,0.0018299935950224172
Bonus Card Bingo,3,50,3.332222592469177e-4
Bonus Card Bingo,3,75,3.332222592469177e-4
Bonus Card Bingo,3,100,3.332222592469177e-4
Bonus Card Bingo,3,150,1.6663889351774705e-4
Bonus Card Bingo,3,150,1.6663889351774705e-4
Bonus Card Bingo,3,200,9.999000099990002e-5
Bonus Card Bingo,3,500,9.999000099990002e-5
Bonus Card Bingo,3,1000,1.666638889351844e-5
Bonus Card Bingo,3,1000,3.333222225925803e-5
Bonus Card Bingo,3,30000,1.666638889351844e-5
Bonus Card Bingo,3,0,0.7915870974769931
