"","Name","Price","MaxPayout","ProbWin","ExpectedValue","StdDev","TicketsSixty","ExpValofSixty","StdDevSixty"
"1","Mega Super Hot 7's",5,77772,0.248131293944044,-1.64862409004109,264.359722595831,12,-19.783489080493,915.768942021587
"2","Super Hot 7's",1,7776,0.222808193761988,-0.383709528904565,20.5923377875696,60,-23.0225717342739,159.507562621469
"3","Deluxe Super Hot 7's",2,17775,0.241937399292326,-0.791705266117711,43.8152669463509,30,-23.7511579835313,239.986100696269
"4","Super Crossword",5,74995,0.256491363720801,-1.6044546133445,238.166077826814,12,-19.253455360134,825.031494870891
"5","Super Hot 7's",1,7776,0.222808193761988,-0.383709528904565,20.5923377875696,60,-23.0225717342739,159.507562621469
"6","3-2-Won!",1,1499,0.194188764255794,-0.445432923232667,5.24555649022861,60,-26.72597539396,40.6319058564913
"7","Gnome Me The Money",1,999,0.198285253903295,-0.444794774246936,4.30531919934866,60,-26.6876864548162,33.3488591183688
"8","Lucky Roll",1,1999,0.192315337299449,-0.44368073771518,6.69420961750327,60,-26.6208442629108,51.8531247292234
"9","Lucky Spot",1,999,0.196744508486159,-0.440342070622007,4.42925012331582,60,-26.4205242373204,34.3088239275786
"10","Merry Christmas",1,999,0.215614090053402,-0.494308823185126,4.74460251268601,60,-29.6585293911075,36.7515330320136
"11","Snow Days",1,1499,0.194146163428764,-0.455553412861625,6.55120897302403,60,-27.3332047716975,50.7454465000933
"12","E-I-E-I DOUGH",1,999,0.192115717750983,-0.442760721395524,4.39185796026053,60,-26.5656432837314,34.0191854779951
"13","Crossword Express",1,999,0.217972858799324,-0.474486934439725,3.51909846654754,60,-28.4692160663835,27.2588195092053
"14","Super Hot 7's",1,7776,0.222807499326706,-0.389110152090553,19.5461084765849,60,-23.3466091254332,151.403505225954
"15","Cash Dash",1,1999,0.191016925079212,-0.444159955631823,6.96458797837365,60,-26.6495973379094,53.947466506875
"16","Fast Money",1,1499,0.194737396291865,-0.441948366948654,5.21605912672327,60,-26.5169020169192,40.4034202612648
"17","Super HOT 7's",1,4999,0.223414397732095,-0.391742323909302,11.981231795827,60,-23.5045394345581,92.8062224245774
"18","Fish & Chips",1,999,0.198285253903295,-0.444794774246936,4.30531919934866,60,-26.6876864548162,33.3488591183688
"19","PAYDAY",1,1499,0.196739963134298,-0.440342009259763,5.14163765581825,60,-26.4205205555858,39.8269540264341
"20","DEUCES WILD",1,1999,0.198135433416623,-0.441697949880576,6.75017970637138,60,-26.5018769928346,52.2866671733672
"21","Moose Money",1,999,0.191365510829,-0.443285324239433,4.64553867609523,60,-26.597119454366,35.9841878533586
"22","Deluxe Super Hot 7's",2,17775,0.241937399292326,-0.791705266117711,43.8152669463509,30,-23.7511579835313,239.986100696269
"23","Booming Bucks",2,11998,0.211750499697229,-0.821369172662603,44.2645588187758,30,-24.6410751798781,242.446973630577
"24","Max Money",2,11998,0.210396698424316,-0.820406031765111,45.8291368619849,30,-24.6121809529533,251.016520503007
"25","Bingo Night",2,11998,0.202701127000838,-0.818457288891608,37.4709023651865,30,-24.5537186667482,205.236584754863
"26","$12,000 Crossword Bonus",2,11998,0.20718607056355,-0.795224923134493,42.7109407592384,30,-23.8567476940348,233.937457061017
"27","Crossword",2,11998,0.230957272441739,-0.826458602991867,35.0798440813932,30,-24.793758089756,192.140219171431
"28","8 Bit Bingo",2,11998,0.202437761508157,-0.824476782345982,40.3927135661719,30,-24.7343034703795,221.240003790373
"29","Rocket Crossword",2,11998,0.208138287241925,-0.794966112453953,38.2982547620198,30,-23.8489833736186,209.768180462379
"30","Happy Holly Days",2,11998,0.210396698424316,-0.820406031765111,45.8291368619849,30,-24.6121809529533,251.016520503007
"31","$14,000 Montana Crossword",2,13998,0.244373272182646,-0.814669922624419,36.0138901765704,30,-24.4400976787326,197.256200332213
"32","2x The Fun Crossword",2,11998,0.197188136780413,-0.795290770594845,38.2907077637019,30,-23.8587231178454,209.726843850177
"33","Deluxe Super Hot 7's",2,17775,0.241091949497888,-0.791942940130337,48.9230477041491,30,-23.7582882039101,267.962568094638
"34","Unlock It!",2,11998,0.211927988080461,-0.82586325366436,40.5657124599174,30,-24.7758976099308,222.187557755651
"35","Crossword Wizard",2,11998,0.214720914959652,-0.852790950462247,38.3795392737933,30,-25.5837285138674,210.213394069121
"36","Bullseye Bingo",2,11998,0.202437761508157,-0.824476782345982,40.3927135661719,30,-24.7343034703795,221.240003790373
"37","BULLSEYE BINGO",2,11998,0.202437761508157,-0.824476782345982,40.3927135661719,30,-24.7343034703795,221.240003790373
"38","The $14,000 Montana Crossword",2,13998,0.244373272182646,-0.814669922624419,36.0138901765704,30,-24.4400976787326,197.256200332213
"39","GOLD STAR BINGO",2,11998,0.210138283460808,-0.819678815185749,40.402288180081,30,-24.5903644555725,221.292446110547
"40","Cash Line Bingo",3,29997,0.219014885008214,-1.0871010486622,100.493771109528,20,-21.7420209732441,449.42180703242
"41","Sweet Win Slingo",3,29997,0.250792894283038,-1.13241853629453,100.237413928392,20,-22.6483707258906,448.275342865336
"42","Fast Lane Crossword",3,29997,0.226791669821754,-1.09059147528668,109.774404387297,20,-21.8118295057336,490.926060799095
"43","The Game Of Life",3,29997,0.222413364749375,-1.09799998076231,100.576847784435,20,-21.9599996152462,449.793337217291
"44","Lucky Loot Bingo",3,29997,0.209043286763972,-1.0906021702037,122.763295683325,20,-21.8120434040741,549.014148579643
"45","Bonus Spin Slingo",3,29997,0.246932130568402,-1.09723514757377,122.730317980531,20,-21.9447029514754,548.866667809266
"46","Money Comb",3,29997,0.217785949391978,-1.0771113784716,122.776829968315,20,-21.5422275694319,549.074675742172
"47","Bonus Card Bingo",3,29997,0.208412902523007,-1.09045021832678,122.892230138411,20,-21.8090043665357,549.590760992072
"48","Wild Cherry Crossword",3,29997,0.226791669821754,-1.09059147528668,109.774404387297,20,-21.8118295057336,490.926060799095
"49","Groovy Slingo",3,29997,0.246926632868833,-1.11959513102229,122.687371237935,20,-22.3919026204458,548.674604137552
"50","High Voltage Bingo",3,29997,0.209043286763972,-1.0906021702037,122.763295683325,20,-21.8120434040741,549.014148579643
"51","CASH ADVENTURE",3,29997,0.222188510406176,-1.10809197886708,122.559715112964,20,-22.1618395773415,548.103708591193
"52","MACHO NACHO SLINGO",3,29997,0.246926632868833,-1.11959513102229,122.687371237935,20,-22.3919026204458,548.674604137552
"53","Ca$h'm If You Can!",3,29997,0.21760191156152,-1.08424891301832,123.065108996657,20,-21.6849782603664,550.363898749891
"54","Mega Super Hot 7's",5,77772,0.248131293944044,-1.64862409004109,264.359722595831,12,-19.783489080493,915.768942021587
"55","Super Crossword",5,74995,0.256491363720801,-1.6044546133445,238.166077826814,12,-19.253455360134,825.031494870891
"56","Slingo Trio Sizzler",5,74995,0.279043473176985,-1.65291136110786,237.278066119172,12,-19.8349363332943,821.955332080185
"57","Holiday Magic",5,74995,0.237507830245519,-1.63710627273363,274.280547991876,12,-19.6452752728036,950.135689299527
"58","$75,000 Crossword",5,74995,0.24941848494872,-1.59943646753949,266.221209457177,12,-19.1932376104739,922.217321664532
"59","Slingo Trio Silver And Gold",5,74995,0.27388263379372,-1.62917810375667,265.258303319836,12,-19.55013724508,918.881716958946
"60","Ace of Spades",5,74995,0.235413908619987,-1.65918937921245,265.618944309568,12,-19.9102725505494,920.131013993961
"61","Mega Super Hot 7's",5,77772,0.24342884275278,-1.64685393478965,301.355180009781,12,-19.7622472174757,1043.92496580201
"62","4x4 Payout",5,74995,0.272319416757136,-2.04420162506889,207.369378102318,12,-24.5304195008267,718.348597614352
"63","MEGA Super Hot 7's",5,77772,0.245433939768334,-1.67514997228486,275.161549989991,12,-20.1017996674183,953.187569744137
"64","High 5",5,74995,0.237507830245519,-1.63710627273363,274.280547991876,12,-19.6452752728036,950.135689299527
"65","$175,000 Bonus Star",10,174990,0.256351282601168,-2.5665173206623,618.830585165574,6,-15.3991039239738,1515.81917088359
"66","24K GOLD",10,174990,0.256784314555443,-2.51991384836605,618.833921977675,6,-15.1194830901963,1515.8273443706
"67","50X",10,174990,0.264532736176523,-2.59622107728799,618.899952419726,6,-15.577326463728,1515.98908526112
"68","$500,000 Extreme Cash",20,499980,0.260849392260794,-4.49859440632031,1770.69863939709,3,-13.4957832189609,3066.94000832884
"69","Loaded",20,499980,0.260849392260794,-4.49859440632031,1770.69863939709,3,-13.4957832189609,3066.94000832884
"70","My $500K Series",20,499980,0.260849392260794,-4.49859440632031,1770.69863939709,3,-13.4957832189609,3066.94000832884
